step,entropy
3019,2.079441
3021,2.079442
3026,2.079439
3028,2.07944
3029,2.079441
3030,2.079441
3034,2.079441
3039,2.079442
3040,2.079441
3041,2.079442
3043,2.079442
3051,2.079135
3054,2.079419
3055,2.079442
3056,2.079441
3060,2.079441
3061,2.079441
3063,2.079438
3064,2.079441
3065,2.079441
3067,2.079442
3068,2.079441
3069,2.079442
3070,2.079442
3073,2.079441
3074,2.079441
3076,2.079441
3077,2.079442
3078,2.079441
3079,2.079441
3083,2.079441
3084,2.079441
3085,2.079441
3086,2.079441
3089,2.07944
3091,2.079442
3092,2.079441
3093,2.079441
3096,2.079441
3098,2.079441
3101,2.079442
3102,2.079442
3103,2.079441
3104,2.079441
3105,2.079442
3106,2.079441
3107,2.079441
3109,2.079441
3110,2.079442
3111,2.079441
3112,2.079441
3114,2.079441
3119,2.079442
3123,2.079441
3126,2.079441
3127,2.079442
3128,2.079442
3131,2.07944
3133,2.079437
3135,2.079441
3137,2.079441
3139,2.079441
3140,2.07944
3141,2.079442
3143,2.079442
3145,2.079441
3147,2.079441
3148,2.079441
3149,2.079442
3150,2.079442
3152,2.079441
3153,2.079442
3154,2.079442
3156,2.079442
3157,2.079432
3158,2.079441
3159,2.07944
3163,2.079441
3166,2.079442
3170,2.079433
3171,2.079442
3173,2.079441
3174,2.079441
3175,2.079348
3176,2.079441
3177,2.079441
3179,2.079441
3180,2.07944
3181,2.079441
3182,2.079442
3183,2.079441
3185,2.079442
3186,2.079441
3187,2.079441
3188,2.079442
3189,2.079442
3190,2.079441
3192,2.079442
3194,2.079442
3198,2.079442
3199,2.079441
3200,2.079441
3201,2.07944
3202,2.079441
3205,2.079434
3206,2.079441
3207,2.079438
3208,2.079441
3209,2.079441
3210,2.079441
3211,2.079442
3214,2.079441
3216,2.079442
3219,2.079442
3220,2.079442
3221,2.079441
3222,2.079441
3223,2.079441
3225,2.079261
3226,2.079441
3228,2.079441
3229,2.079438
3230,2.079441
3231,2.079441
3234,2.079442
3237,2.079441
3238,2.079441
3239,2.07944
3240,2.079441
3243,2.079441
3247,2.079423
3248,2.079439
3249,2.07944
3250,2.079441
3251,2.07944
3254,2.079442
3257,2.079442
3258,2.079441
3259,2.079442
3261,2.079442
3262,2.079441
3263,2.079441
3264,2.079441
3266,2.079442
3267,2.079441
3269,2.079441
3271,2.079441
3272,2.079442
3275,2.07944
3276,2.079441
3278,2.079441
3279,2.079441
3282,2.079442
3284,2.079441
3285,2.079442
3287,2.07944
3290,2.079439
3291,2.079442
3293,2.079441
3294,2.079442
3295,2.079442
3296,2.079442
3299,2.079442
3301,2.079441
3302,2.079441
3304,2.079441
3305,2.079441
3306,2.079201
3309,2.079441
3310,2.079441
3312,2.079442
3313,2.079442
3314,2.079441
3315,2.079441
3317,2.079441
3320,2.079441
3323,2.079442
3324,2.079442
3325,2.079442
3327,2.079422
3328,2.079441
3329,2.079441
3334,2.07944
3335,2.079441
3336,2.079442
3338,2.079441
3340,2.07944
3342,2.079442
3343,2.07944
3344,2.079441
3345,2.079441
3348,2.079441
3350,2.079439
3355,2.079441
3356,2.079442
3357,2.07944
3359,2.079441
3360,2.079441
3366,2.079442
3367,2.07944
3368,2.079441
3370,2.079441
3371,2.079441
3373,2.079441
3375,2.079441
3376,2.079442
3377,2.079442
3378,2.079441
3380,2.079109
3381,2.079441
3382,2.07944
3383,2.07944
3386,2.079441
3390,2.079441
3392,2.079441
3393,2.079441
3394,2.079441
3395,2.079441
3398,2.079441
3399,2.079441
3402,2.079442
3404,2.079441
3405,2.079441
3407,2.079129
3408,2.079441
3409,2.079442
3410,2.079374
3412,2.079441
3416,2.079373
3417,2.079441
3418,2.079441
3420,2.079439
3423,2.079441
3425,2.079441
3426,2.079441
3427,2.079442
3428,2.079441
3429,2.079441
3430,2.079442
3431,2.079442
3433,2.079442
3434,2.079441
3437,2.079437
3438,2.07944
3439,2.079199
3441,2.07944
3442,2.079441
3445,2.079441
3447,2.079441
3449,2.079441
3450,2.079442
3451,2.079439
3452,2.079442
3453,2.079441
3455,2.07944
3457,2.079442
3460,2.079441
3461,2.079442
3462,2.079442
3464,2.07944
3466,2.07944
3467,2.079441
3468,2.079441
3471,2.079441
3473,2.079441
3474,2.079441
3475,2.079442
3477,2.079441
3478,2.079402
3479,2.079442
3480,2.079438
3481,2.079441
3482,2.079441
3483,2.079441
3484,2.079442
3485,2.079441
3486,2.07944
3487,2.079442
3489,2.07944
3491,2.079442
3494,2.079441
3497,2.079441
3499,2.079442
3501,2.079441
3502,2.079441
3503,2.079441
3504,2.079442
3505,2.079428
3507,2.079441
3508,2.079442
3509,2.079442
3510,2.079442
3512,2.079442
3513,2.079442
3515,2.079441
3516,2.079442
3517,2.079441
3518,2.079441
3520,2.079442
3521,2.079441
3522,2.079441
3525,2.079442
3526,2.079442
3529,2.079442
3531,2.079441
3532,2.079441
3533,2.079221
3534,2.079442
3535,2.07944
3536,2.079442
3538,2.079441
3539,2.079441
3541,2.079441
3542,2.079442
3543,2.079281
3544,2.079441
3545,2.079441
3546,2.07944
3548,2.079442
3549,2.07944
3550,2.079441
3551,2.079441
3552,2.079441
3553,2.079441
3555,2.079419
3557,2.079441
3559,2.079441
3560,2.079442
3561,2.079442
3563,2.079441
3564,2.07928
3565,2.079442
3566,2.07917
3568,2.079439
3571,2.079442
3575,2.079441
