step,action,reason,sim_max,surprise,surp_norm,entropy,topk,used_key_id,shadow_size,mem_size
1103,stage,staged,,,,,6,,240,131,0.6276
1104,stage,staged,,,,,6,,241,131,0.6181
1105,stage,staged,,,,,6,,242,131,0.6454
1106,stage,staged,,,,,6,,243,131,0.6156
1109,stage,staged,,,,,6,,244,131,0.4063
1110,stage,staged,,,,,6,,245,131,0.6744
1112,stage,staged,,,,,6,,246,131,0.6413
1113,stage,staged,,,,,6,,247,131,0.6186
1114,stage,staged,,,,,6,,248,131,0.6347
1116,stage,staged,,,,,6,,249,131,0.634
1117,stage,staged,,,,,6,,250,131,0.6536
1118,stage,staged,,,,,6,,251,131,0.6123
1121,stage,staged,,,,,6,,252,131,0.6153
1122,stage,staged,,,,,6,,253,131,0.6195
1127,stage,staged,,,,,6,,254,131,0.603
1128,stage,staged,,,,,6,,255,131,0.637
1130,stage,staged,,,,,6,,256,131,0.3528
1131,stage,staged,,,,,6,,257,131,0.6065
1136,stage,staged,,,,,6,,258,131,0.6312
1137,stage,staged,,,,,6,,259,131,0.602
1138,stage,staged,,,,,6,,260,131,0.6278
1142,stage,staged,,,,,6,,261,131,0.6688
1143,stage,staged,,,,,6,,262,131,0.6062
1144,stage,staged,,,,,6,,263,131,0.6213
1148,stage,staged,,,,,6,,264,131,0.6014
1149,stage,staged,,,,,6,,265,131,0.6208
1142,promote,shadow_promote,,,,,6,,253,132
1110,promote,shadow_promote,,,,,6,,253,133
1102,promote,shadow_promote,,,,,6,,253,134
1100,promote,shadow_promote,,,,,6,,253,135
1117,promote,shadow_promote,,,,,6,,253,136
1105,promote,shadow_promote,,,,,6,,253,137
1112,promote,shadow_promote,,,,,6,,253,138
1128,promote,shadow_promote,,,,,6,,253,139
1136,promote,shadow_promote,,,,,6,,253,140
1114,promote,shadow_promote,,,,,6,,253,141
1116,promote,shadow_promote,,,,,6,,253,142
1138,promote,shadow_promote,,,,,6,,253,143
1150,stage,staged,,,,,6,,254,143,0.6195
1151,stage,staged,,,,,6,,255,143,0.673
1153,stage,staged,,,,,6,,256,143,0.6336
1154,stage,staged,,,,,6,,257,143,0.6223
1155,stage,staged,,,,,6,,258,143,0.6201
1156,stage,staged,,,,,6,,259,143,0.6424
1157,stage,staged,,,,,6,,260,143,0.6263
1158,stage,staged,,,,,6,,261,143,0.6184
1159,stage,staged,,,,,6,,262,143,0.6169
1161,stage,staged,,,,,6,,263,143,0.6263
1162,stage,staged,,,,,6,,264,143,0.6304
1163,stage,staged,,,,,6,,265,143,0.628
1165,stage,staged,,,,,6,,266,143,0.6458
1167,stage,staged,,,,,6,,267,143,0.3857
1169,stage,staged,,,,,6,,268,143,0.6615
1171,stage,staged,,,,,6,,269,143,0.2206
1173,stage,staged,,,,,6,,270,143,0.624
1176,stage,staged,,,,,6,,271,143,0.6612
1177,stage,staged,,,,,6,,272,143,0.6332
1178,stage,staged,,,,,6,,273,143,0.6358
1179,stage,staged,,,,,6,,274,143,0.6199
